SPECTRUM,GALAXY,SN,CONST_SN,CONST_GAL,Z,A_v,Phase,Band,Frac(SN),Frac(gal),CHI2/dof,CHI2/dof2
OBK-112832-WiFeS-Splice-UT20221010T114426-8.p12_SN_binned.txt,E,TDE H+He/2019qiz/X-Shooter phase-band : 37.0g,1.6109892,0.060537424,0.47,2.0,37.0,g,0.94355834,0.056441654,5.7372036,0.013280563
OBK-112832-WiFeS-Splice-UT20221010T114426-8.p12_SN_binned.txt,S0,SLSN-I/PTF10aagc/DOLORES phase-band : u-,1.8627836,0.2739034,0.5,2.0,u,-,0.77402097,0.22597902,5.925744,0.013286421
OBK-112832-WiFeS-Splice-UT20221010T114426-8.p12_SN_binned.txt,SB1,II/1999em/LRIS phase-band : 8.0B,0.3233285,0.66814685,0.07,1.8,8.0,B,0.14127494,0.8587251,6.251402,0.013357696
OBK-112832-WiFeS-Splice-UT20221010T114426-8.p12_SN_binned.txt,SB2,II-flash/2013fs_early/LRIS phase-band : -4.43B,0.12499431,0.5399836,0.4,-1.2,-4.43,B,0.4618246,0.5381754,5.98438,0.013387874
OBK-112832-WiFeS-Splice-UT20221010T114426-8.p12_SN_binned.txt,SB2,SLSN-I/2017egm/KAST phase-band : -0.39B,0.21441087,0.51696384,0.2,-0.2,-0.39,B,0.41585782,0.5841422,6.3409834,0.013405885
OBK-112832-WiFeS-Splice-UT20221010T114426-8.p12_SN_binned.txt,E,SLSN-I/2017egm/KAST phase-band : 6.62B,0.6050417,0.38313216,0.14,1.2,6.62,B,0.65108114,0.34891886,6.680345,0.013414348
OBK-112832-WiFeS-Splice-UT20221010T114426-8.p12_SN_binned.txt,E,SLSN-II/CSS121015/AFOSC phase-band : -6.12B,1.4979138,0.5443003,0.44,2.0,-6.12,B,0.5736605,0.4263395,5.7224436,0.013432966
OBK-112832-WiFeS-Splice-UT20221010T114426-8.p12_SN_binned.txt,E,IIn/2009kr/KAST phase-band : 0.17B,1.5311301,0.17667934,0.14,2.0,0.17,B,0.7845371,0.21546292,6.80707,0.01350609
OBK-112832-WiFeS-Splice-UT20221010T114426-8.p12_SN_binned.txt,SB2,SLSN-I/2018bsz/FLOYDS-N phase-band : -8.52r,0.23015991,0.60099214,0.38,0.8,-8.52,r,0.20036703,0.79963297,5.752071,0.013534284
OBK-112832-WiFeS-Splice-UT20221010T114426-8.p12_SN_binned.txt,SB2,Ic/2019bkc/Goodman phase-band : 0.37g,0.8400915,0.57258934,0.18,2.0,0.37,g,0.19724323,0.8027568,6.092382,0.013599066
OBK-112832-WiFeS-Splice-UT20221010T114426-8.p12_SN_binned.txt,SB2,IIb/1993J/KAST phase-band : -18.0B,0.5095742,0.54071,0.21,0.4,-18.0,B,0.35043108,0.6495689,6.107142,0.013601652
OBK-112832-WiFeS-Splice-UT20221010T114426-8.p12_SN_binned.txt,E,TDE H+He/2018dyb/EFOSC2-NTT phase-band : -6.89B,1.3524557,0.1596724,0.43,2.0,-6.89,B,0.8447628,0.15523718,5.794736,0.013602666
OBK-112832-WiFeS-Splice-UT20221010T114426-8.p12_SN_binned.txt,E,IIb-flash/2013cu_early/ALFOSC phase-band : -3.99V,0.43849143,0.44651037,0.29,0.0,-3.99,V,0.7465936,0.25340644,6.208795,0.013645703
OBK-112832-WiFeS-Splice-UT20221010T114426-8.p12_SN_binned.txt,E,II-flash/2013fs_early/ALFOSC phase-band : -2.79B,0.69249517,0.44137132,0.14,1.0,-2.79,B,0.6243153,0.37568468,6.842113,0.013656912
OBK-112832-WiFeS-Splice-UT20221010T114426-8.p12_SN_binned.txt,E,II/2013ej/BC-Asi phase-band : -3.61B,1.2600526,0.44466522,0.15,2.0,-3.61,B,0.5538864,0.4461136,6.912362,0.013687845
OBK-112832-WiFeS-Splice-UT20221010T114426-8.p12_SN_binned.txt,E,Ia-CSM/2016iks/EFOSC2-NTT phase-band : u-,1.0739318,0.47002897,0.16,2.0,u,-,0.5281705,0.47182947,6.8303823,0.013715628
